decile,group,n_papers,n_with_mutual,share_pct
1,diverse,270340,1889.0,0.6987497225715765
1,non-diverse,7253744,53105.0,0.732104689660953
2,diverse,1465733,16316.0,1.113163175012093
2,non-diverse,7355401,84462.0,1.14829905262813
3,diverse,1607368,24061.0,1.4969191871432055
3,non-diverse,4380200,66202.0,1.5113921738733391
4,diverse,3126715,60545.0,1.9363773161289084
4,non-diverse,5500207,102509.0,1.8637298559854203
5,diverse,3354429,78972.0,2.3542605909977525
5,non-diverse,4042449,88423.0,2.187362165855401
6,diverse,4028063,108239.0,2.687122818088992
6,non-diverse,3569191,87747.0,2.458456272023548
7,diverse,5071570,150405.0,2.9656496903325795
7,non-diverse,3252777,87306.0,2.6840450482772105
8,diverse,5301760,171585.0,3.2363781084017385
8,non-diverse,2334800,69959.0,2.996359431214665
9,diverse,6070498,224204.0,3.693337844769902
9,non-diverse,1736135,61357.0,3.5341145705835086
10,diverse,6731418,328591.0,4.881452912298716
10,non-diverse,947991,45933.0,4.845299164232572
